Station No,0,1,2,3,4,5,6,7,8,9,10,15,20,30,40,50,Distance
1,42.7,42.2,41.6,42,42.5,43.2,43.8,44.2,44.6,45,45.1,46.4,50.2,53.5,56.2,61.6,0
2,42.7,42.5,42.5,43.2,43.8,44.2,44.4,44.6,45.1,45.5,46,47.4,49.6,53.7,56.2,61.6,1
3,42.9,42.3,41.6,42,42.5,43.2,43.6,44,44.5,44.9,45.4,48,50.4,54,57.2,61.6,2
4,43.4,42.5,42.3,43,43.5,43.9,44.3,44.9,45.4,45.8,46.2,46.8,50,53.2,56.9,61.6,3
5,44,43,42,42.2,42.6,43.7,44.1,44.4,44.6,45.1,45.7,47.5,51,54.7,56.2,61.6,4
6,44.5,43.4,42.5,43,43.7,44,44.3,44.4,44.6,44.7,45.1,48,50.6,54.6,56.2,61.6,5
7,45.2,44.1,43.3,43,43,43.4,43.6,44,43.8,44,44.3,47,50.1,54.2,58.5,61.6,6
8,45.5,44.3,43.2,43,43,43,43.1,43.4,43.6,43.7,44.4,47.5,49.1,54.5,56.9,61.6,7
9,45.4,44,43,42.6,43,43.2,44,44.3,44.5,45,45.2,46.3,49.9,54.4,58,61.6,8
10,45.3,44.5,43.3,42.8,42.6,43,43.5,44.1,44.8,45.3,45.5,47,49.5,53.1,57.7,61.6,9
11,45,44.2,43,43,43,42.9,43.4,44.1,44.7,45.6,46.2,48.4,50.2,54.6,56.7,61.6,10
12,44.5,43.4,43,43.3,43.6,43.8,44,44.3,44.4,44.8,45.4,47.4,50,52.8,57,61.6,15
13,43.8,43,42.3,42.5,42.8,43.4,43.9,44.2,44.4,45,45.4,47.6,49.5,53.3,56.6,61.6,20
14,43.4,42.4,41.5,41.6,41.9,42.4,43.3,43.8,44,44.4,44.7,46.6,50.2,53.6,56.2,61.6,30
15,42.9,42.2,41.5,41.6,42.1,42.5,43.4,43.5,43.2,42.8,43.2,47.1,49,53.5,57.3,61.6,40
16,42.6,42,41.5,41.6,41.5,41.7,41.8,42.2,43.4,43.6,44.1,47.1,50.1,53.9,56.4,61.6,50
